Tree: ;23;List: ;362
Tree: ;12;List: ;215
Tree: ;11;List: ;220
Tree: ;12;List: ;17
Tree: ;12;List: ;64
Tree: ;86;List: ;5
Tree: ;13;List: ;40
Tree: ;10;List: ;34
Tree: ;13;List: ;38
Tree: ;26;List: ;3657
Tree: ;12;List: ;18
Tree: ;11;List: ;19
Tree: ;11;List: ;5
Tree: ;10;List: ;13
Tree: ;9;List: ;29
Tree: ;10;List: ;30
Tree: ;9;List: ;6
Tree: ;10;List: ;19
Tree: ;11;List: ;19
Tree: ;11;List: ;15
Tree: ;51;List: ;25
Tree: ;55;List: ;14
Tree: ;6;List: ;17
Tree: ;6;List: ;16
Tree: ;6;List: ;32
Tree: ;7;List: ;29
Tree: ;4;List: ;1
Tree: ;5;List: ;13
Tree: ;6;List: ;31
Tree: ;6;List: ;11
Tree: ;5;List: ;10
Tree: ;7;List: ;40
Tree: ;6;List: ;15
Tree: ;4;List: ;15277
Tree: ;4;List: ;3
Tree: ;6;List: ;19
Tree: ;5;List: ;21
Tree: ;4;List: ;17
Tree: ;6;List: ;27
Tree: ;6;List: ;22
Tree: ;5;List: ;5
Tree: ;5;List: ;15
Tree: ;5;List: ;24
Tree: ;7;List: ;23
Tree: ;5;List: ;28
Tree: ;6;List: ;40
Tree: ;5;List: ;3
Tree: ;5;List: ;15
Tree: ;6;List: ;28
Tree: ;10;List: ;71
Tree: ;8;List: ;15
Tree: ;8;List: ;6
Tree: ;6;List: ;37
Tree: ;6;List: ;35
Tree: ;6;List: ;32
Tree: ;6;List: ;32
Tree: ;4;List: ;5
Tree: ;7;List: ;8
Tree: ;4;List: ;3
Tree: ;7;List: ;29
Tree: ;5;List: ;19
Tree: ;7;List: ;40
Tree: ;4;List: ;22
Tree: ;90;List: ;31
Tree: ;6;List: ;29
Tree: ;6;List: ;15
Tree: ;4;List: ;9
Tree: ;5;List: ;5
Tree: ;6;List: ;5
Tree: ;5;List: ;15
Tree: ;5;List: ;13
Tree: ;6;List: ;26
Tree: ;5;List: ;9
Tree: ;4;List: ;10
Tree: ;5;List: ;14
Tree: ;5;List: ;12
Tree: ;5;List: ;23
Tree: ;5;List: ;12
Tree: ;7;List: ;2
Tree: ;6;List: ;14
Tree: ;5;List: ;22
Tree: ;6;List: ;28
Tree: ;6;List: ;30
Tree: ;5;List: ;31
Tree: ;7;List: ;44
Tree: ;5;List: ;36
Tree: ;7;List: ;34
Tree: ;7;List: ;38
Tree: ;7;List: ;27
Tree: ;9;List: ;245
Tree: ;9;List: ;46
Tree: ;6;List: ;59
Tree: ;5;List: ;18
Tree: ;10;List: ;51
Tree: ;6;List: ;44
Tree: ;7;List: ;65
Tree: ;7;List: ;36
Tree: ;5;List: ;7
Tree: ;7;List: ;25
Tree: ;5;List: ;12
